4.53E-06,1.19E-06,4.29E-06,,4.34E-06,1.34E-06,4.05E-06
4.05E-06,1.43E-06,4.05E-06,,1.07E-05,4.20E-06,1.30E-05
4.29E-06,1.19E-06,4.29E-06,,1.78E-05,1.16E-05,2.98E-05
4.53E-06,1.43E-06,3.81E-06,,2.78E-05,1.67E-05,4.74E-05
4.29E-06,1.43E-06,3.81E-06,,3.86E-05,3.00E-05,7.24E-05
9.06E-06,3.81E-06,9.06E-06,,4.87E-05,5.35E-05,8.67E-05
9.54E-06,5.25E-06,1.29E-05,,7.24E-05,7.62E-05,0.000136185
1.22E-05,4.05E-06,1.48E-05,,0.000107861,0.000103664,0.000226498
1.12E-05,3.81E-06,1.38E-05,,0.000131226,0.000153971,0.000287104
1.17E-05,4.05E-06,1.43E-05,,0.00018239,0.000194645,0.000298405
1.79E-05,9.30E-06,2.53E-05,,0.000291967,0.000261354,0.000327253
1.36E-05,1.07E-05,2.43E-05,,0.000283432,0.000358295,0.000526571
2.00E-05,9.78E-06,3.03E-05,,0.000402212,0.000476217,0.000669003
1.84E-05,1.81E-05,4.01E-05,,0.00049715,0.000651169,0.000805187
1.93E-05,1.00E-05,2.88E-05,,0.000656319,0.000785828,0.001200867
2.98E-05,1.38E-05,3.79E-05,,0.000800419,0.000825977,0.000828123
2.12E-05,1.69E-05,3.74E-05,,0.000952291,0.001227379,0.001562786
3.10E-05,1.79E-05,6.75E-05,,0.001136541,0.001395655,0.001815128
2.81E-05,1.79E-05,4.86E-05,,0.001420403,0.001746082,0.001361942
2.91E-05,1.72E-05,4.55E-05,,0.001627445,0.002138615,0.00310235
4.29E-05,3.22E-05,8.20E-05,,0.00194416,0.002616739,0.003145552
3.96E-05,2.79E-05,6.18E-05,,0.002256918,0.002934122,0.002592659
3.91E-05,3.17E-05,8.49E-05,,0.00303154,0.003732967,0.003758621
3.34E-05,2.79E-05,5.48E-05,,0.003559685,0.004492855,0.004755449
3.79E-05,3.05E-05,7.87E-05,,0.002874136,0.004772568,0.003621435
3.74E-05,4.51E-05,6.87E-05,,0.004660273,0.005819893,0.006463099
4.96E-05,4.77E-05,7.27E-05,,0.00595212,0.006642818,0.005911589
4.79E-05,5.13E-05,0.000120401,,0.006172085,0.00934267,0.007073784
5.44E-05,4.58E-05,0.000115633,,0.010268974,0.009737349,0.005639362
5.41E-05,7.75E-05,5.63E-05,,0.00842557,0.009707928,0.007048368
8.27E-05,7.41E-05,0.000146389,,0.008525229,0.012596846,0.011168814
8.20E-05,7.72E-05,0.000183105,,0.011431074,0.013133478,0.010793304
4.32E-05,7.10E-05,9.27E-05,,0.013714027,0.021281004,0.012281132
8.30E-05,8.25E-05,0.000135899,,0.013748837,0.015807295,0.0107934
7.13E-05,7.63E-05,0.000122786,,0.016095591,0.01917367,0.018226767
0.000109673,0.000115156,0.000219584,,0.020851612,0.025244665,0.018496513
9.54E-05,9.85E-05,0.000261545,,0.021847534,0.023057127,0.01285243
9.04E-05,0.000101566,0.000181913,,0.025442171,0.028243446,0.016360569
0.000124693,0.000101328,0.00022459,,0.024778509,0.028936338,0.022848654
0.000119209,0.000101805,0.000244856,,0.025317049,0.034520054,0.0231915
0.000161648,0.000137806,0.000121832,,0.027965593,0.035688782,0.030386543
0.000165939,0.000159025,0.000322104,,0.031034088,0.0378016,0.023296976
9.49E-05,0.000162125,0.000366926,,0.034603453,0.041843653,0.023531055
0.00010252,0.000147104,0.000241041,,0.038722038,0.046356678,0.035160875
0.00013113,0.000163794,0.000383615,,0.0497118,0.05626111,0.040092993
0.000244856,0.000169754,0.000162125,,0.047679043,0.056416178,0.030287504
6.70E-05,0.000205755,0.000302315,,0.05024066,0.059984827,0.039906454
0.000184059,0.000210524,0.000422001,,0.050276089,0.064862967,0.038116026
0.0001688,0.000209332,0.000313759,,0.057427883,0.071166754,0.043152952
0.00024724,0.00017786,0.000291824,,,,
0.000438213,0.0003016,0.000323534,,,,
0.000277519,0.000285864,0.000449896,,,,
0.000293255,0.000270128,0.000370979,,,,
0.00018549,0.000255585,0.000361204,,,,
0.00026536,0.000193596,0.000130653,,,,
0.000364542,0.000389814,0.000686646,,,,
0.00023675,0.000334263,0.000437975,,,,
0.000291824,0.000331163,0.000374794,,,,
0.000225544,0.000357628,0.000533104,,,,
0.0002985,0.000378609,0.000600338,,,,
0.000371218,0.000443935,0.000541687,,,,
0.000377655,0.000490189,0.000729084,,,,
0.000458241,0.000468969,0.000585556,,,,
0.000464916,0.000522137,0.000672579,,,,
0.000339031,0.000455856,0.000816107,,,,
